date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps,B_pred,B_actual,D_pred,D_actual
2008-11-18,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.0006597042083740234,1,-0.05363579839468002,-1,-0.05363579839468002,-0.05363579839468002,,,,0,-536.3579839468002,0.06463523209095001,-0.0060164593160152435,0.0006597042083740234,-1.3795502580863528
2008-11-19,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.0049928054213523865,1,-0.049609940499067307,-1,-0.049609940499067307,-0.10324573889374733,,,,0,-496.09940499067307,0.07152484357357025,0.08865413069725037,0.0049928054213523865,-1.234032731259152
2008-11-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.009302567690610886,1,0.042510632425546646,1,0.042510632425546646,-0.060735106468200684,,,,1,425.10632425546646,0.05398990213871002,0.13039687275886536,0.009302567690610886,1.0195702067929981
2008-11-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.008736096322536469,1,0.059322528541088104,1,0.059322528541088104,-0.0014125779271125793,,,,1,593.225285410881,0.04668690264225006,0.009702088311314583,0.008736096322536469,1.4078845529535253
2008-11-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.0032232068479061127,1,-0.0046038818545639515,-1,-0.0046038818545639515,-0.006016459781676531,,,,0,-46.038818545639515,0.031926482915878296,-0.016746971756219864,0.0032232068479061127,-0.10529690246968396
2008-11-25,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0025734305381774902,-1,0.04103479161858559,1,-0.04103479161858559,-0.04705125140026212,,,,0,-410.34791618585587,0.04112107306718826,0.015847941860556602,-0.0025734305381774902,1.111254334073887
2008-11-26,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.006063900887966156,-1,-0.007867200300097466,-1,0.007867200300097466,-0.03918405110016465,,,,1,78.67200300097466,0.016181590035557747,-0.053896866738796234,-0.006063900887966156,-0.2067849103956423
2008-11-28,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01581024006009102,-1,-0.07818415015935898,-1,0.07818415015935898,0.039000099059194326,,,,1,781.8415015935898,0.01077187992632389,-0.0062005408108234406,-0.01581024006009102,-2.0920149030097552
2008-12-01,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.006639935076236725,-1,0.03287346661090851,1,-0.03287346661090851,0.006126632448285818,,,,0,-328.7346661090851,0.026854990050196648,0.11061938107013702,-0.006639935076236725,0.7967744531761531
2008-12-02,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005037464201450348,-1,0.027991032227873802,1,-0.027991032227873802,-0.021864399779587984,,,,0,-279.910322278738,0.0353471115231514,0.07541601359844208,-0.005037464201450348,0.6679611691128471
2008-12-03,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.013111703097820282,-1,-0.0287100151181221,-1,0.0287100151181221,0.006845615338534117,,,,1,287.100151181221,0.025922207161784172,0.04408736154437065,-0.013111703097820282,-0.6850921338906252
2008-12-04,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01273910328745842,-1,0.03982912749052048,1,-0.03982912749052048,-0.03298351215198636,,,,0,-398.2912749052048,0.040150873363018036,0.04499876871705055,-0.01273910328745842,0.9793462647053741
2008-12-05,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.010900955647230148,-1,0.03863576799631119,1,-0.03863576799631119,-0.07161928014829755,,,,0,-386.3576799631119,0.050107941031455994,0.025248471647500992,-0.010900955647230148,0.9573386069605946
2008-12-08,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011363919824361801,-1,-0.0023298992309719324,-1,0.0023298992309719324,-0.06928938091732562,,,,1,23.298992309719324,0.019024988636374474,-0.031062552705407143,-0.011363919824361801,-0.05680074135595529
2008-12-09,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01406995952129364,-1,-0.0033376188948750496,-1,0.0033376188948750496,-0.06595176202245057,,,,1,33.376188948750496,0.025575188919901848,0.018161559477448463,-0.01406995952129364,-0.08158449891293568
2008-12-10,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011407766491174698,-1,-0.0277986079454422,-1,0.0277986079454422,-0.03815315407700837,,,,1,277.986079454422,0.02446856163442135,0.009317740797996521,-0.011407766491174698,-0.6843648104632636
2008-12-11,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.001174643635749817,-1,0.020078828558325768,1,-0.020078828558325768,-0.058231982635334134,,,,0,-200.78828558325768,0.026057587936520576,0.019404899328947067,-0.001174643635749817,0.505647258021963
2008-12-12,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.008130878210067749,-1,-0.017675256356596947,-1,0.017675256356596947,-0.04055672627873719,,,,1,176.75256356596947,0.026234013959765434,0.007497432641685009,-0.008130878210067749,-0.4687346241071723
2008-12-15,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.004086628556251526,-1,0.04689421504735947,1,-0.04689421504735947,-0.08745094132609665,,,,0,-468.94215047359467,0.03931763768196106,0.003164258087053895,-0.004086628556251526,1.2939084794448272
